@relation questionCategory
@attribute article string
@attribute Class  {"ќѕг« " , "Ёж« н—", "«ќ—м"}
@data
"янЁ ггяд «Џ—Ё —’нѕн ќб«б «б ћж«б","Ёж« н—"
"‘ж ”Џ— «б—”«б… «Ћд«Ѕ «б ћж«б","Ёж« н—"
"янЁ гд «бггяд «жЁ— —’нѕн «Ћд«Ѕ «б ћж«б","Ёж« н—"
"‘ж «бЁ—ё »«б”Џ— »нд «бгя«бг… «бгЌбн… ж «бгя«бг… ќб«б «б ћж«б","Ёж« н—"
"янЁ ггяд «Ќжб —’нѕ гд ‘ќ’ б«ќ—","Ёж« н—"
"янЁ ггяд «Џ»н —’нѕ","Ёж« н—"
"‘ж √”Џ«— «бя—ж  «бгжћжѕ… Џдѕяг","Ёж« н—"
"янЁ «ЁЏб  —‘нѕ «б«” еб«я «Ћд«Ѕ «б ћж«б","Ёж« н—"
"‘ж ен Ё∆«  «б Џ»∆… «бќ«’… »я—  «бћж«б","Ёж« н—"
"янЁ »ёѕ— «” Џбг Џд —’нѕн бг« «” ќѕг «б ћж«б","Ёж« н—"
"янЁ ггяд «Ќжб —’нѕ гд ће«“ бће«“","Ёж« н—"
"янЁ ггяд «÷нЁ —’нѕ гд »Ў«ё«  «б Џ»∆… Џбм «бћж«б","Ёж« н—"
"янЁ »∆ѕ— «Џ—Ё «ѕн‘ ÷«нб »—’нѕн","Ёж« н—"
"янЁ »∆ѕ— «Џ—Ё —’нѕн ж «д« »” ќѕг ќѕг… «б ћж«б","Ёж« н—"
"янЁ »∆ѕ— «жЁ— —’нѕн «Ћд«Ѕ ќѕг… «б ћж«б","Ёж« н—"
"«ѕне «бЁ—Ѕ »«б ябЁ… »нд гя«бг… «б ћж«б ж «бгя«бг… «бѕжбн…","Ёж« н—"
"янЁ »∆ѕ— «Ќжб —’нѕ","Ёж« н—"
"«д« «‘ —н  я—  ћж«б янЁ »∆ѕ— «Џ»не","Ёж« н—"
"»Џ—Ё Ён я—  ћж«б »Џ‘—нд »ќг”нд Ён «яЋ— гд еня","Ёж« н—"
"«не янЁ »ёѕ— «ЁЏб «б—”«∆б «б’ж н… ж яг » ябЁдн","Ёж« н—"
"янЁ »ёѕ— «ЁЌ’ —’нѕн","Ёж« н—"
"янЁ »ёѕ— «ЁЌ’ «б—’нѕ ж «д« »—«","Ёж« н—"
"янЁ »ёѕ— «жЁ— —’нѕ ж «д« »—«","Ёж« н—"
"янЁ »Џ»н я—  «бћж«б","Ёж« н—"
"«не «н‘ » яжд ёнг я—ж  «бћж«б »«бЏ«ѕ…","Ёж« н—"
"янЁ »ёѕ— «Џ—Ё —’нѕн »«бжё  «бЌ«бн","Ёж« н—"
"янЁ »ёѕ— «ќЁЁ г’«—нЁ ќѕг… «б ћж«б","Ёж« н—"
"‘ж ен Ё∆«  «б Џ»∆… «бќ«’… »я—  «бћж«б","Ёж« н—"
"«н‘ ен ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ »∆ѕ— «÷нЁ «б—’нѕ Џд Ў—нё »Ў«ё«  «б Џ»∆… »«бћж«б","Ёж« н—"
"янЁ »ёѕ— «Џ—Ё —’нѕн","Ёж« н—"
"янЁ »Џ—Ё —’нѕн бг« «” Џгб «б ћж«б","Ёж« н—"
"янЁ »ёѕ— «жЁ— —’нѕ бг« »” Џгб ќѕг… «б ћж«б","Ёж« н—"
"‘ж ен… ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ »ёѕ— «Џ»н —’нѕ","Ёж« н—"
"‘ж ен «бЁ∆«  «б Џ»∆… «бќ«’… »я—  ћж«б","Ёж« н—"
"янЁ »ёѕ— «Џ—Ё —’нѕн","Ёж« н—"
"янЁ »Џ—Ё яг ’—Ё  «Ћд«Ѕ «б ћж«б «бѕжбн","Ёж« н—"
"янЁ »ѕн «жЁ— —’нѕ бг« «ЁЏб «б ћж«б","Ёж« н—"
"‘ж ен Џгбн…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ »Џ»н —’нѕ гд ќб«б »Ў«ё«  «б Џ»∆…","Ёж« н—"
"‘ж ен Ё∆«  «б Џ»∆… «бќ«’… »я—  «бћж«б","Ёж« н—"
"янЁ »Џ—Ё яг «б—’нѕ Џдѕн","Ёж« н—"
"ж «д« г”«Ё— ж гЁЏб «б ћж«б янЁ »ёѕ— «” Џбг Џд «б—’нѕ","Ёж« н—"
"янЁ »ЁЏб  —‘нѕ «б«” еб«я «Ћд«Ѕ «б ћж«б","Ёж« н—"
"—’нѕн ќб’ ж »ѕн Ќѕ нЌжбн —’нѕ янЁ »ёѕ— «” Џгб е«н «бќѕг…","Ёж« н—"
"янЁ »Џ»н —’нѕ »«” ќѕ«г «бя— ","Ёж« н—"
"«н‘ Ё∆«  «б Џ»∆… «бќ«’… »я—ж  «бћж«б «бг жЁ—… Џдѕяг","Ёж« н—"
"‘ж «ёб  ябЁ… гя«бг«  ж «д« »—« «б»бѕ","Ёж« н—"
"янЁ »∆ѕ— «Џ—Ё —’нѕн ќб«б ќѕг… «б ћж«б","Ёж« н—"
"‘ж ен ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ «Џ»н я— ","Ёж« н—"
"‘ж Ё∆«  я— «  «бћж«б","Ёж« н—"
"янЁ »∆ѕ— «Џ—Ё —’нѕн","Ёж« н—"
"янЁ »ёѕ— «ћн» яг Ён Џдѕн —’нѕ","Ёж« н—"
"»ќѕг… «б ћж«б янЁ »ёѕ— «Џ—Ё яг —’нѕн","Ёж« н—"
"»ќѕг… «б ћж«б Ён «‘н «”гж  —‘нѕ «б«” еб«я »ёѕ— «Џ—Ё ‘ж еж…","Ёж« н—"
"бг« «яжд гЁЏб «б ћж«б ж Ќѕ« н—д Џбн »Џ—Ё «дж «д«  ћж«б «ж »ќ’г гдж «‘н","Ёж« н—"
"»” «”«бя «н‘ нЏдн «Ќжб —’нѕ","Ёж« н—"
"«д« «‘ —н  я—  ж г‘ Џ«—Ё «Џ»н » ёѕ—  ”«Џѕдн","Ёж« н—"
"Ён Џдѕяг я—  Џ‘—…","Ёж« н—"
"‘ж «бЎ—нё… «бн ггяд «Џ—Ё Ёне« яг —’нѕн","Ёж« н—"
"янЁ »Џ—Ё яг ’—Ё  «Ћд«Ѕ «б ћж«б «бѕжбн","Ёж« н—"
"янЁ «жЁ— «” еб«я «б—’нѕ бг« «яжд гЁЏб «б ћж«б","Ёж« н—"
"‘ж ен… ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ »ёѕ— «÷нЁ —’нѕ гд ќб«б »Ў«ё«  «б Џ»∆… Џбм «бћж«б","Ёж« н—"
"‘ж ен… Ё∆«  «б Џ»∆… «бќ«’… »я—  «бћж«б","Ёж« н—"
"янЁ »ёѕ— «Џ—Ё ёѕн‘ ÷«нб Џдѕн —’нѕ","Ёж« н—"
"янЁ »ёѕ— «” Џбг Џд —’нѕн бг« «” ќѕг ќѕг… «б ћж«б «бѕжбн","Ёж« н—"
"ёѕн‘ »ябЁ «–« »ѕн «—”б —”«б… ж «д« »” ќѕг ќѕг… «б ћж«б","Ёж« н—"
"янЁ »ёѕ— «жЁ— —’нѕн ж «д« гЁЏб ќѕг… «б ћж«б","Ёж« н—"
"янЁ »ёѕ— «Ќжб —’нѕ бЌѕ«","Ёж« н—"
"янЁ »ёѕ— «÷нЁ —’нѕ бг« «‘ —н »Ў«ё…  Џ»∆… ћж«б","Ёж« н—"
"‘жен Ё∆«  «б Џ»∆… «бќ«’… »я—  «бћж«б","Ёж« н—"
"янЁ «Џ—Ё ягн… —’нѕн »«бжё  «бЌ«бн","Ёж« н—"
"янЁ »Џ—Ё яг ’—Ё  «Ћд«Ѕ «б ћж«б «бѕжбн","Ёж« н—"
"янЁ «жЁ— «” еб«я —’нѕ бг« «яжд гЁЏб «б ћж«б","Ёж« н—"
"«н‘ ен ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ »√ѕ— «÷нЁ —’нѕ гд ќб«б »Ў«ё«  «б Џ»∆… Џбм ћж«б","Ёж« н—"
"‘ж Ён Ё√   Џ»∆… ќ«’… »я—  «бћж«б","Ёж« н—"
"‘ж «бЎ—н∆… «бн ггяд «Џ—Ё Ёне« яг —’нѕн","Ёж« н—"
"янЁ »Џ—Ё яг ’—Ё  «Ћд«Ѕ «б ћж«б «бѕжбн","Ёж« н—"
"‘ж «бЎ—н∆… «бн »∆ѕ— «жЁ— Ёне« г’«—нЁ «б ћж«б","Ёж« н—"
"‘ж ен ќѕг…  Ќжнб «б—’нѕ","Ёж« н—"
"янЁ »∆ѕ— «÷нЁ —’нѕ гд ќб«б »Ў«ё«  «б Џ»∆… Џбм «бћж«б","Ёж« н—"
"‘ж ен Ё∆«  «б Џ»∆… «бќ«’… »я—  «бћж«б","Ёж« н—"
"янЁ »√ѕ— «ќбн ж«Ќѕ н—ћЏбн","«ќ—м"
"янЁ »ѕн «»Џ  ’ж  г”ћб я—”«б…","«ќ—м"
"янЁ ггяд «»Џ  ’ж—… »—”«б… ё’н—…","«ќ—м"
"янЁ ггяд «Џ—Ё гнд —д Џбн бг« няжд  бнЁждн г”я—","«ќ—м"
"» ‘ џб ‘—нЌ… «бћж«б »—« «б»бѕ","«ќ—м"
"» ∆ѕ—ж  »Џ жбн —г“ «б»н нж я","«ќ—м"
"жнд Ён г—«я“ » »нЏ ‘—«∆Ќ ћж«б","«ќ—м"
"бг« »‘ —н я—  янЁ »Џ»н »«б бнЁжд","«ќ—м"
"‘ж Ё∆«  я—ж  «бћж«б «бгжћжѕ… »«б”жЅ","«ќ—м"
"»ѕн «»Џ  ’ж—… Џд Ў—нё —”«б… янЁ »√ѕ— «Џгб еня","«ќ—м"
"янЁ »√ѕ— «Џ—Ё ‘ж Ён гя«бг«  Ё«∆ … » ж’бдн","«ќ—м"
"»ѕн «ЌЎ «џдн… бг« «бд«” н—дж Џбн н”гЏже« янЁ","«ќ—м"
"‘—«∆Ќ гд »—« «б»бѕ » ‘ џб Џ‘»я… ћж«б","«ќ—м"
"б«“г «‘ —н ‘—нЌ… ћѕнѕ… бг« «”«Ё— »—« «б»бѕ жб« ‘—нЌ… ћж«б » ‘ џб »—«","«ќ—м"
" бнЁждн г‘ —«÷н нЁ Ќ »Ўб» —г“ «б»н нж я","«ќ—м"
"жнд » »нЏж ‘—«∆Ќ ћж«б","«ќ—м"
"янЁ ггяд  ж’бдн «б«ќ»«— «жб »«жб","«ќ—м"
"‘ж нЏдн «б—”«∆б «б’ж н…","«ќ—м"
"янЁ нгяд «бЌ’жб Џбм ‘—нЌ… ћж«б","«ќ—м"
"янЁ ггяд  ж’бдн «б«ќ»«— «жб »«жб","«ќ—м"
"янЁ нгяд «бЌ’жб Џбм ‘—нЌ… ћж«б","«ќ—м"
"янЁ ггяд  ж’бдн «б«ќ»«— «жб »«жб","«ќ—м"
"янЁ нгяд «бЌ’жб Џбм ‘—нЌ… ћж«б","«ќ—м"
"еб б«“г «џн— ће«“н «Ћд«Ѕ «б ћж«б жб« ће«“н »“»Ў","«ќ—м"
"янЁ »∆ѕ— «Ќ’б Џбм ‘—нЌ… ћж«б","«ќ—м"
"янЁ »∆ѕ— «‘ —н ‘—нЌ… ћж«б","«ќ—м"
"гд жнд »ёѕ— «ћн» ‘—нЌ… ћж«б","«ќ—м"
"янЁ ггяд «ЌЎ ’ж—… ж «»Џ е« Ён «” г ” б’ѕнён","«ќ—м"
"янЁ ггяд «Џ—Ё —г“ «б»н нж я  »Џн","«ќ—м"
"янЁ »ёѕ— «ќбн ‘ќ’ нЌян гЏн ж «д« » ћжб «бѕжб «б «дн…","«ќ—м"
"б«“г «‘ —н ће«“ ћѕнѕ бг« «ЎбЏ »—« «ж «”«Ё— ж « дёб »нд ѕжб… ж ѕжб…","«ќ—м"
"янЁ »ёѕ— «»Џ  Ёнѕнж ж ёѕн‘ гѕ… еѕ« «бЁнѕнж ж ёѕн‘ »ябЁдн «»Џ ж","«ќ—м"
"»ѕн «” Ё”— Џд —г“ «б»н нжя  »Џн","«ќ—м"
"янЁ ггяд «Џгб —жгндџ б‘—нЌ н «бн ћ«н»е« гЏн гд »—« «б»бѕ","«ќ—м"
"«÷Ў—н  «џн— ћж«бн «Ћд«Ѕ Џгбн… «б ћж«б ‘ж «б«‘н«Ѕ «бггяд «”жне«","«ќ—м"
"янЁ »ѕн √∆ѕ— «ћн» ‘—нЌ… ћж«б","«ќ—м"
"»б“гдн «џн— »бЁждн бг« »ѕн «Џгб  ћж«б","«ќ—м"
"Ё Ќ  ћж«бн еѕня «бнжг ж Ўб» гд «‘н «”гж «б »н нж яне яжѕ ‘ж е«ѕ« ж янЁ ггяд «Ќ’б Џбне","«ќ—м"
"«д« г”«Ё— Џбм «б«—ѕд ж Ён Џдѕж я н— « ’«б«  гег… б«“г «Џгбе« «н‘ «б‘»я«  «ббн б«“г «Џгб Џбне« «б ћж«б Џ‘«д «÷бдн «” ё»б «б« ’«б«  »Ў—нё… ’ЌнЌ… ж «Џгб « ’«б« ","«ќ—м"
"«д« ћ«н Џбм Ёб”Ўнд “н«—… ж »ѕн «‘»я ћж«бн Џбм ћж«б янЁ ггяд «Џгб е«ѕ «бЌян","«ќ—м"
"янЁ »ѕн «ж’б бб»—нѕ «б’ж н  »Џн ж «д« Џ«гб —жгндћ","«ќ—м"
"«д« г”«Ё— »—… ж »ѕн «Џгб « ’«б«  »б“г «‘ —н ‘—нЌ… ћѕнѕ… гд «б‘»я«  «бгжћжѕ… ед«я жб« »дЁЏ «Џгб —жгндћ Џбм ‘»я… ћж«б","«ќ—м"
"«не еб ћж«бн —«Ќ н‘ џб «–« яд  »—« «б»бѕ бг« «ЁЏб «б ћж«б жб« б«","«ќ—м"
"янЁ »ѕн «ћн» ‘—нЌ… ћж«б","«ќ—м"
"»ѕн «Џ—Ё ‘ж Ё∆«  «б Џ»∆… бя—ж  «бћж«б","«ќ—м"
"янЁ »ёѕ— «“»Ў «Џѕ«ѕ«  «бж«» Џбм ћж«бн ж ‘ж Ќ“г «б«д —д  «бгжћжѕ… Џдѕяг","«ќ—м"
"ггяд «б ћж«б »нд ‘»я… «ћд»н… Џбм «бћж«б","«ќ—м"
"»б“г «џн— ћж«бн бг« «ЎбЏ »—« «б»бѕ","«ќ—м"
"жнд г—«я“ «б»нЏ «бќ«’… Ёняг","«ќ—м"
"еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ жб« »” ежд","«ќ—м"
"янЁ »∆ѕ— «ќбн бг« «—д Џбм Ќѕ« нЎбЏбн «џдн…","«ќ—м"
"»∆ѕ— «Ќян гя«бг«  ж «д« »—« «б»бѕ","«ќ—м"
"янЁ »∆ѕ— «ћн» ‘—нЌ… ћж«б","«ќ—м"
"янЁ »ёѕ— « Ќяг Ё«б«Џѕ«ѕ«  Џбм ћж«бн","«ќ—м"
"янЁ »ѕн «Џ—Ё «–« Ќѕ —д Џбн ж ћж«бн г”я—","«ќ—м"
"г‘«д «ЁЏб «б ћж«б Ён ѕ«Џн «ћн» ћж«б ћѕнѕ","«ќ—м"
"янЁ »ёѕ— «ћн» ‘—нЌ… ћж«б","«ќ—м"
"янЁ »∆ѕ— «Ќ’б Џбм ‘—нЌ… ћж«б","«ќ—м"
"—Ќ н‘ џб ће«“н »—« «б»бѕ бг« «ЁЏб «б ћж«б","«ќ—м"
"янЁ »ёѕ— «Ќ’б Џбм ‘—нЌ… ћж«б","«ќ—м"
"янЁ »ёѕ— «Џ—Ё «б»н нжя","«ќ—м"
"янЁ »ёѕ— «ЎбЏ ‘—нЌ… ћж«б","«ќ—м"
"»ѕн «‘»я «д —д  Џдѕн ж г‘ Џ«—Ё »Ќяжбн Ён б«“г «Џѕ«ѕ«  «бќѕг«  гд жнд »ћн»е« е«н","«ќ—м"
"я н— »ЎбЏ Џдѕн Џ«бће«“ гя«бг«  Ё«∆ … янЁ »ёѕ— «ЁЏб ќѕг… «дн «ж’бег","«ќ—м"
"янЁ »ќбн «џдн…  ‘ џб бг« Ќѕ« н ’б Џбн","«ќ—м"
"гд жнд »ёѕ— «ћн» ‘—нЌ… ћж«б","«ќ—м"
"б«“г «џн— ће«“н ж «д« »—« «б»бѕ","«ќ—м"
"янЁ »∆ѕ— «ћн» ‘—нЌ…","«ќ—м"
"бж »ѕн «‘ —н ‘—нЌ… ћж«б янЁ »ёѕ— «ћн» жЌѕ…","«ќ—м"
"еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б","«ќ—м"
"янЁ »ёѕ— «Ќ’б Џбм ‘—нЌ… ћж«б","«ќ—м"
"янЁ »ёѕ— «Ќ’б Џбм —г“ «б»н нжя","«ќ—м"
"Ён Џдѕяг гћгжЏ… «џ«дн гЏнд… »ёѕ— «ќ «— где« бќѕг… —дбн жб« «д« »ёѕ— «ќ «— «б«џдн… «бн »ѕн н«е«","«ќ—м"
"еб —«Ќ н‘ џб ћж«бн »—« «б»бѕ бг« «ЁЏб «б ћж«б","«ќ—м"
"ћж«б Џг »Ўб» гдн —г“ «б»н нжя янЁ »ёѕ— «Ќ’б Џбне","«ќ—м"
"янЁ »ёѕ— «Ќ’б Џбм ‘—нЌ… ћж«б","«ќ—м"
"янЁ ггяд  ж’бдн «б«ќ»«— «жб »√жб","«ќ—м"
"янЁ ггяд «бЌ’жб Џбм ‘—нЌ… ћж«б","«ќ—м"
"янЁ «ќбн Ќѕ н—ћЏбн Џбм —ёгн »ѕжд г« «—д Џбне","«ќ—м"
"янЁ »∆ѕ— «Ќ’б Џбм ‘—нЌ… ћж«б","«ќ—м"
